time,pr_day_CCSM4_rcp45
2006-01-01 00:00:00+00:00,0.0
2006-01-02 00:00:00+00:00,0.0
2006-01-03 00:00:00+00:00,0.0
2006-01-04 00:00:00+00:00,0.0
2006-01-05 00:00:00+00:00,5.471494660014287e-06
2006-01-06 00:00:00+00:00,3.028773676305718e-08
2006-01-07 00:00:00+00:00,3.9649417885812e-05
2006-01-08 00:00:00+00:00,7.347534847212955e-07
2006-01-09 00:00:00+00:00,0.0
2006-01-10 00:00:00+00:00,0.0
2006-01-11 00:00:00+00:00,0.0
2006-01-12 00:00:00+00:00,3.1161357583187055e-06
2006-01-13 00:00:00+00:00,4.736908522318117e-05
2006-01-14 00:00:00+00:00,6.514244887512177e-05
2006-01-15 00:00:00+00:00,5.688561941497028e-06
2006-01-16 00:00:00+00:00,3.4394929571135435e-06
2006-01-17 00:00:00+00:00,0.0
2006-01-18 00:00:00+00:00,3.966962140111718e-06
2006-01-19 00:00:00+00:00,2.4936795739449735e-07
2006-01-20 00:00:00+00:00,0.0
2006-01-21 00:00:00+00:00,0.0
2006-01-22 00:00:00+00:00,3.496357749099843e-06
2006-01-23 00:00:00+00:00,0.0
2006-01-24 00:00:00+00:00,0.0
2006-01-25 00:00:00+00:00,0.0
2006-01-26 00:00:00+00:00,0.0
2006-01-27 00:00:00+00:00,0.0
2006-01-28 00:00:00+00:00,1.527247604826698e-06
2006-01-29 00:00:00+00:00,1.1304395997058236e-07
2006-01-30 00:00:00+00:00,0.0
2006-01-31 00:00:00+00:00,4.378874596255855e-09
2006-02-01 00:00:00+00:00,1.7454804037697613e-06
2006-02-02 00:00:00+00:00,0.0
2006-02-03 00:00:00+00:00,1.7132775553818647e-07
2006-02-04 00:00:00+00:00,0.0
2006-02-05 00:00:00+00:00,3.2083751193567878e-06
2006-02-06 00:00:00+00:00,7.545278640463948e-05
2006-02-07 00:00:00+00:00,3.7388883356470615e-05
2006-02-08 00:00:00+00:00,1.6737199075578246e-06
2006-02-09 00:00:00+00:00,0.0
2006-02-10 00:00:00+00:00,0.0
2006-02-11 00:00:00+00:00,0.0
2006-02-12 00:00:00+00:00,2.989414724652306e-07
2006-02-13 00:00:00+00:00,1.2080586202500854e-06
2006-02-14 00:00:00+00:00,9.407578545506112e-06
2006-02-15 00:00:00+00:00,3.1599527574144304e-05
2006-02-16 00:00:00+00:00,7.625699799973518e-05
2006-02-17 00:00:00+00:00,0.0005369172431528568
2006-02-18 00:00:00+00:00,0.0012376939412206411
2006-02-19 00:00:00+00:00,0.0012136868899688125
2006-02-20 00:00:00+00:00,0.00011372546578058973
2006-02-21 00:00:00+00:00,2.5470285436313134e-06
2006-02-22 00:00:00+00:00,1.8787782209983561e-06
2006-02-23 00:00:00+00:00,0.0
2006-02-24 00:00:00+00:00,0.0
2006-02-25 00:00:00+00:00,0.0
2006-02-26 00:00:00+00:00,3.7869376683374867e-06
2006-02-27 00:00:00+00:00,1.3825482483298401e-06
2006-02-28 00:00:00+00:00,3.0853209409542615e-07
2006-03-01 00:00:00+00:00,4.70161154453308e-09
2006-03-02 00:00:00+00:00,7.89476128915112e-09
2006-03-03 00:00:00+00:00,2.3552352956812683e-08
2006-03-04 00:00:00+00:00,1.8177568108512787e-06
2006-03-05 00:00:00+00:00,0.0
2006-03-06 00:00:00+00:00,0.0
2006-03-07 00:00:00+00:00,0.0
2006-03-08 00:00:00+00:00,0.0
2006-03-09 00:00:00+00:00,0.0
2006-03-10 00:00:00+00:00,0.0
2006-03-11 00:00:00+00:00,1.2165050065959804e-05
2006-03-12 00:00:00+00:00,4.133380116400076e-06
2006-03-13 00:00:00+00:00,2.81872180494247e-05
2006-03-14 00:00:00+00:00,3.303729317849502e-05
2006-03-15 00:00:00+00:00,1.7700775742923724e-06
2006-03-16 00:00:00+00:00,0.0
